Kategori;Tindak Lanjut/Arahan;Rekomendasi ;PIC;Status ;Rapat ;Tanggal Rapat;Due Date;Durasi-Tgl Rapat;Durasi-DueDate;Email Due Reminder;Keterangan ; ; ; ; ; ; ; ; ; ; ; ; ; 
Kinerja Perusahaan;Tingkat penyelesaian keluhan pelanggan terkait pramudi hanya mencapai 67,94% dan gangguan TI dengan penyelesaian baru mencapai 94,26%.;Evaluasi proses penyelesaian keluhan pelanggan khususnya terkait pramudi dan TI ;Divisi Pelayanan;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Kinerja Perusahaan;Tingkat penyelesaian keluhan pelanggan terkait pramudi hanya mencapai 67,94% dan gangguan TI dengan penyelesaian baru mencapai 94,26%.;Evaluasi proses penyelesaian keluhan pelanggan khususnya terkait pramudi dan TI ;Divisi Sistem Teknologi dan Informasi;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Kinerja Perusahaan;Penjelasan terhadap serapan biaya untuk operator telah di atas RKA, tapi jumlah pelanggan sama dengan RKA, ini berarti ada inefisiensi.;"Memberikan penjelasan bahwa:
1. Jumlah pelanggan lebih besar 101% dari RKA, seharusnya bisa lebih tinggi karena ada tanggal merah selama tiga hari berturut-turut di hari kerja 
2. Adanya pengoperasian kilometer layanan BRT lebih dari RKA karena ada uji coba optimasi baterai bus listrik. ";Divisi Integrasi Angkutan;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Kinerja Perusahaan;"1. Jumlah pelanggan/KM untuk BRT yang masih di bawah target 
2. Jumlah rute total yang masih dibawah RKA ?";Percepatan penyelesaian dokumen akibat penutupan 3 rute mikrotrans (JAK.33, JAK.10B, dan JAK.49B), dan 1 rute angkutan umum integrasi (12A) yang bermasalah (Integrasi Angkutan);Divisi Integrasi Angkutan;Closed;BOC;26-Feb-25;28-Mar-25;447;417;;;;;;;;;;;;;;;
Kinerja Perusahaan;Dengan melihat pendapatan Bunga Tahun 2025 bulan Januari sebesar 18 M, maka kemunduran uang PSO akan berdampak langsung terhadap target laba Tahun 2025, oleh karena itu manajemen diharapkan dapat menjelaskan langkah taktis dan strategis untuk memastikan uang muka PSO dapat cair pada Triwulan I.;"Membuat paparan mengenai langkah dampak pengurangan laba akibat kemunduran pencairan PSO:

Misal:
1. Langkah Taktis:
a. Mercepat administrasi dan koordinasi dengan pemerintah daerah terkait percepatan pencairan dana PSO. 
b. Mengoptimalkan arus kas dan pengeluaran operasional.

2. Langkah Strategis: Peningkatan pendapatan non-subsidi";"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Kinerja Perusahaan;Dewan Komisaris meminta penjelasan terhadap laporan uang kas Januari yang menunjukkan arus kas negatif.;"Penjelasan: 
Arus Kas Negatif disebabkan karena belum adanya pencairan dana PSO dan adanya pembayaran kepada operator, pembayaran operasional lainnya dan pembayaran kepada Direksi dan Karyawan yang belum terbayarkan dari September sampai dengan Desember 2024. 

Rekomendasi:
1. Mempercepat pencairan dana PSO (koordinasi intensif dengan Pemprov untuk memastikan pencairan pada Triwulan I)
2. Menyusun skema pembayaran bertahap kepada operator dan stakeholder lainnya agar tidak membebani arus kas bulanan.";"""Divisi Keuangan, Akuntansi, dan Perpajakan""";Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Kinerja Perusahaan;Pendapatan tiket Januari 7% dibawah RKA dan perlu mendapat perhatian adalah Pendapatan Non Usaha Non Angkutan yang berada 24% dari RKA.;"1. Strategi untuk meningkatkan pendapatan tiket berbayar (BRT dan NBRT) 
2. Memasukkan pendapatan tiket Open Top Tour of Jakarta ke dalam pendapatan non-subsidi ";Divisi Operasional Bus;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Kinerja Perusahaan;Pendapatan tiket Januari 7% dibawah RKA dan perlu mendapat perhatian adalah Pendapatan Non Usaha Non Angkutan yang berada 24% dari RKA.;"1. Strategi untuk meningkatkan pendapatan tiket berbayar (BRT dan NBRT) 
2. Memasukkan pendapatan tiket Open Top Tour of Jakarta ke dalam pendapatan non-subsidi ";Divisi Integrasi Angkutan;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Kinerja Perusahaan;Pendapatan tiket Januari 7% dibawah RKA dan perlu mendapat perhatian adalah Pendapatan Non Usaha Non Angkutan yang berada 24% dari RKA.;"1. Strategi untuk meningkatkan pendapatan tiket berbayar (BRT dan NBRT) 
2. Memasukkan pendapatan tiket Open Top Tour of Jakarta ke dalam pendapatan non-subsidi ";Divisi Penjualan;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
Program Strategis ;"Dept. Pelatihan dapat melakukan kajian tentang metode pelatihan yang efektif bagi karyawan yang bertugas di lapangan
";"Pengembangan eksisting sistem e-learning dihubungkan melalui portal
Pengukuran L1 – L3 di setiap pelatihan
Mendorong program sharing partner dan menjadi penugasan wajib setelah peserta mengikuti pelatihan
";Divisi Sumber Daya Manusia;Closed;BOC;26-Feb-25;07-Mar-25;447;438;;;;;;;;;;;;;;;
